"Gene","Ref1","Ref2","Class"
"A1CF",NA,"Medvedeva2015","CM"
"ABL1","Pearl2015",NA,"DDR"
"ACD","Pearl2015",NA,"DDR"
"ACTB",NA,"Medvedeva2015","CM"
"ACTL6A","Pearl2015","Medvedeva2015","DDR-CM"
"ACTL6B",NA,"Medvedeva2015","CM"
"ACTR3B",NA,"Medvedeva2015","CM"
"ACTR5","Pearl2015","Medvedeva2015","DDR-CM"
"ACTR6",NA,"Medvedeva2015","CM"
"ACTR8","Pearl2015","Medvedeva2015","DDR-CM"
"ADNP",NA,"Medvedeva2015","CM"
"AEBP2",NA,"Medvedeva2015","CM"
"AICDA",NA,"Medvedeva2015","CM"
"AIRE",NA,"Medvedeva2015","CM"
"ALKBH1","Pearl2015","Medvedeva2015","DDR-CM"
"ALKBH2","Pearl2015",NA,"DDR"
"ALKBH3","Pearl2015",NA,"DDR"
"AMN1","Pearl2015",NA,"DDR"
"ANKRD28","Pearl2015",NA,"DDR"
"ANKRD32",NA,"Medvedeva2015","CM"
"ANKRD44","Pearl2015",NA,"DDR"
"ANKRD52","Pearl2015",NA,"DDR"
"ANP32A",NA,"Medvedeva2015","CM"
"ANP32B",NA,"Medvedeva2015","CM"
"ANP32E",NA,"Medvedeva2015","CM"
"APBB1",NA,"Medvedeva2015","CM"
"APEX1","Pearl2015","Medvedeva2015","DDR-CM"
"APEX2","Pearl2015",NA,"DDR"
"APITD1","Pearl2015",NA,"DDR"
"APLF","Pearl2015",NA,"DDR"
"APOBEC1",NA,"Medvedeva2015","CM"
"APOBEC2",NA,"Medvedeva2015","CM"
"APOBEC3A",NA,"Medvedeva2015","CM"
"APOBEC3B",NA,"Medvedeva2015","CM"
"APOBEC3C",NA,"Medvedeva2015","CM"
"APOBEC3D",NA,"Medvedeva2015","CM"
"APOBEC3F",NA,"Medvedeva2015","CM"
"APOBEC3G",NA,"Medvedeva2015","CM"
"APOBEC3H",NA,"Medvedeva2015","CM"
"APTX","Pearl2015",NA,"DDR"
"ARID1A","Pearl2015","Medvedeva2015","DDR-CM"
"ARID1B","Pearl2015","Medvedeva2015","DDR-CM"
"ARID2","Pearl2015","Medvedeva2015","DDR-CM"
